Country_ID,Year,Total losses
DE,1980,61.0
DE,1981,450.0
DE,1982,15.0
DE,1983,249.0
DE,1984,3961.0
DE,1985,1167.0
DE,1986,68.0
DE,1987,86.0
DE,1988,169.0
DE,1989,122.0
DE,1990,7079.0
DE,1991,119.0
DE,1992,330.0
DE,1993,1687.0
DE,1994,2160.0
DE,1995,626.0
DE,1996,336.0
DE,1997,718.0
DE,1998,784.0
DE,1999,3917.0
DE,2000,410.0
DE,2001,1021.0
DE,2002,27248.0
DE,2003,2566.0
DE,2004,1515.0
DE,2005,1810.0
DE,2006,1132.0
DE,2007,6349.0
DE,2008,2845.0
DE,2009,1345.0
DE,2010,5959.0
DE,2011,880.0
DE,2012,159.0
DE,2013,15364.0
DE,2014,3186.0
DE,2015,2934.0
DE,2016,3947.0
DE,2017,5717.0
DE,2018,10145.0
DE,2019,8247.0
DE,2020,1607.0
DE,2021,38755.0
DE,2022,11014.0
DE,2023,2163.0
DK,1980,812.0
DK,1981,812.0
DK,1982,406.0
DK,1983,0.0
DK,1984,43.0
DK,1985,86.0
DK,1986,129.0
DK,1987,172.0
DK,1988,215.0
DK,1989,258.0
DK,1990,301.0
DK,1991,0.0
DK,1992,1076.0
DK,1993,0.0
DK,1994,678.0
DK,1995,1356.0
DK,1996,2034.0
DK,1997,2712.0
DK,1998,3390.0
DK,1999,4068.0
DK,2000,94.0
DK,2001,47.0
DK,2002,0.0
DK,2003,0.5
DK,2004,1.0
DK,2005,0.5
DK,2006,0.0
DK,2007,101.0
DK,2008,105.33333333333331
DK,2009,109.66666666666669
DK,2010,114.0
DK,2011,882.0
DK,2012,890.0
DK,2013,898.0
DK,2014,87.0
DK,2015,58.0
DK,2016,29.0
DK,2017,0.0
DK,2018,87.0
DK,2019,0.0
DK,2020,59.0
DK,2021,0.0
DK,2022,4.0
DK,2023,167.0
EE,1980,15.0
EE,1981,15.0
EE,1982,15.0
EE,1983,15.0
EE,1984,15.0
EE,1985,15.0
EE,1986,15.0
EE,1987,15.0
EE,1988,15.0
EE,1989,15.0
EE,1990,15.0
EE,1991,15.0
EE,1992,15.0
EE,1993,15.0
EE,1994,15.0
EE,1995,15.0
EE,1996,15.0
EE,1997,15.0
EE,1998,15.0
EE,1999,15.0
EE,2000,15.0
EE,2001,16.666666666666668
EE,2002,18.33333333333333
EE,2003,20.0
EE,2004,128.5
EE,2005,237.0
EE,2006,0.0
EE,2007,14.0
EE,2008,28.0
EE,2009,42.0
EE,2010,56.0
EE,2011,50.4
EE,2012,44.8
EE,2013,39.2
EE,2014,33.6
EE,2015,28.0
EE,2016,22.40000000000001
EE,2017,16.800000000000004
EE,2018,11.200000000000005
EE,2019,5.600000000000001
EE,2020,0.0
EE,2021,0.0
EE,2022,0.0
EE,2023,4.0
EL,1980,13.0
EL,1981,2405.0
EL,1982,1211.5
EL,1983,18.0
EL,1984,13.0
EL,1985,3.0
EL,1986,389.0
EL,1987,800.0
EL,1988,6.0
EL,1989,2017.0
EL,1990,4028.0
EL,1991,0.0
EL,1992,0.0
EL,1993,14.0
EL,1994,596.0
EL,1995,1358.0
EL,1996,2.0
EL,1997,199.0
EL,1998,916.0
EL,1999,5729.0
EL,2000,6.0
EL,2001,87.0
EL,2002,39.0
EL,2003,1470.0
EL,2004,360.0
EL,2005,0.0
EL,2006,57.0
EL,2007,1491.0
EL,2008,12.0
EL,2009,90.0
EL,2010,1.0
EL,2011,0.0
EL,2012,0.0
EL,2013,33.0
EL,2014,175.0
EL,2015,17.0
EL,2016,56.0
EL,2017,328.0
EL,2018,77.0
EL,2019,323.0
EL,2020,1134.0
EL,2021,684.0
EL,2022,21.0
EL,2023,3872.0
ES,1980,3718.0
ES,1981,3874.0
ES,1982,3465.0
ES,1983,14823.0
ES,1984,3890.0
ES,1985,78.0
ES,1986,0.0
ES,1987,2487.0
ES,1988,1206.0
ES,1989,2597.0
ES,1990,6529.0
ES,1991,118.0
ES,1992,258.0
ES,1993,168.0
ES,1994,413.0
ES,1995,2291.0
ES,1996,1898.0
ES,1997,8.0
ES,1998,150.0
ES,1999,5881.0
ES,2000,1159.0
ES,2001,347.0
ES,2002,194.0
ES,2003,1160.0
ES,2004,20.0
ES,2005,2781.0
ES,2006,747.0
ES,2007,448.0
ES,2008,0.0
ES,2009,1785.0
ES,2010,1232.0
ES,2011,1644.0
ES,2012,369.0
ES,2013,22.0
ES,2014,0.0
ES,2015,199.0
ES,2016,409.0
ES,2017,419.0
ES,2018,2178.0
ES,2019,4942.0
ES,2020,2421.0
ES,2021,3929.0
ES,2022,11204.0
ES,2023,7132.0
FI,1980,365.0
FI,1981,365.0
FI,1982,365.0
FI,1983,365.0
FI,1984,365.0
FI,1985,689.6666666666667
FI,1986,1014.3333333333334
FI,1987,1339.0
FI,1988,895.0
FI,1989,451.0
FI,1990,7.0
FI,1991,8.363636363636363
FI,1992,9.727272727272728
FI,1993,11.09090909090909
FI,1994,12.454545454545451
FI,1995,13.818181818181817
FI,1996,15.181818181818182
FI,1997,16.545454545454547
FI,1998,17.909090909090907
FI,1999,19.27272727272728
FI,2000,20.63636363636364
FI,2001,22.0
FI,2002,15.333333333333332
FI,2003,8.666666666666666
FI,2004,2.0
FI,2005,154.0
FI,2006,1.0
FI,2007,30.0
FI,2008,70.33333333333334
FI,2009,110.66666666666669
FI,2010,151.0
