PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Latvia,2012,Arsenic and compounds (as As),23.5
2025/03/10,Norway,2009,Benzene,868310
2025/03/10,Belgium,2009,Polychlorinated biphenyls (PCBs),0.213
2025/03/10,Sweden,2013,Fluoranthene,2.2
2025/03/10,Czechia,2009,"Chloro-alkanes, C10-C13",3.9800000000000004
2025/03/10,Italy,2016,Aldrin,54.81
2025/03/10,Switzerland,2016,Total phosphorus,246400
2025/03/10,France,2020,Halogenated organic compounds (as AOX),259430
2025/03/10,Czechia,2010,Hexabromobiphenyl,0.324
2025/03/10,Serbia,2015,"Benzo(g,h,i)perylene",23
2025/03/10,Estonia,2017,Octylphenols and Octylphenol ethoxylates,26
2025/03/10,Poland,2022,Trichlorobenzenes (TCB),9.120000000000001
2025/03/10,Netherlands,2015,Chromium and compounds (as Cr),1237.6
2025/03/10,Ireland,2011,"Chloro-alkanes, C10-C13",49.239999999999995
2025/03/10,Ireland,2011,Fluorides (as total F),130480
2025/03/10,Cyprus,2022,Zinc and compounds (as Zn),2221
2025/03/10,Netherlands,2020,Fluorides (as total F),582430
2025/03/10,France,2021,Benzene,220
2025/03/10,Ireland,2011,Total organic carbon(as total C or COD/3) (TOC),5338200
2025/03/10,Belgium,2018,Nickel and compounds (as Ni),4708.3
2025/03/10,Bulgaria,2007,Lead and compounds (as Pb),37450.1
2025/03/10,Sweden,2021,Dichloromethane (DCM),14
2025/03/10,Bulgaria,2021,Arsenic and compounds (as As),1823
2025/03/10,Croatia,2018,Cadmium and compounds (as Cd),212
2025/03/10,Belgium,2023,Total organic carbon(as total C or COD/3) (TOC),8652600
2025/03/10,Croatia,2019,Di-(2-ethyl hexyl) phthalate (DEHP),2.47
2025/03/10,Hungary,2013,Cadmium and compounds (as Cd),146.59
2025/03/10,Croatia,2018,Lead and compounds (as Pb),370.7
2025/03/10,Latvia,2021,Arsenic and compounds (as As),35.5
2025/03/10,Portugal,2008,Organotin compounds (as total Sn),54.2
2025/03/10,France,2013,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",55.620000000000005
2025/03/10,Czechia,2015,Diuron,3.05
2025/03/10,Austria,2016,Di-(2-ethyl hexyl) phthalate (DEHP),11.6
2025/03/10,Spain,2008,Tetrachloromethane (TCM),11.719999999999999
2025/03/10,Austria,2022,Copper and compounds (as Cu),5808.6
2025/03/10,Portugal,2021,Isoproturon,4.03
2025/03/10,Poland,2021,Fluoranthene,586.5
2025/03/10,Romania,2019,Di-(2-ethyl hexyl) phthalate (DEHP),1340
2025/03/10,Czechia,2020,Polycyclic aromatic hydrocarbons (PAHs),6.7
2025/03/10,Greece,2010,Total organic carbon(as total C or COD/3) (TOC),7526600
2025/03/10,Greece,2022,Halogenated organic compounds (as AOX),61500
2025/03/10,Netherlands,2021,"Benzo(g,h,i)perylene",4.99
2025/03/10,Austria,2009,Arsenic and compounds (as As),80.36
2025/03/10,Cyprus,2009,Cadmium and compounds (as Cd),7.59
2025/03/10,Germany,2010,Ethyl benzene,1.81
2025/03/10,Austria,2013,Cyanides (as total CN),1495
2025/03/10,Ireland,2022,Fluoranthene,3.81
2025/03/10,Finland,2022,Octylphenols and Octylphenol ethoxylates,1.15
2025/03/10,Slovenia,2011,Zinc and compounds (as Zn),1881
2025/03/10,Poland,2021,Cyanides (as total CN),626
2025/03/10,Switzerland,2021,Dichloromethane (DCM),752
2025/03/10,Finland,2021,Di-(2-ethyl hexyl) phthalate (DEHP),249.3
2025/03/10,United Kingdom,2013,Trichlorobenzenes (TCB),16.3
2025/03/10,Ireland,2022,Mercury and compounds (as Hg),42.6
2025/03/10,Spain,2013,Isoproturon,48.379999999999995
2025/03/10,Malta,2009,Total organic carbon(as total C or COD/3) (TOC),32951000
2025/03/10,Belgium,2019,Organotin compounds (as total Sn),170
2025/03/10,United Kingdom,2012,Atrazine,1.06
2025/03/10,Poland,2018,"1,2-dichloroethane (DCE-1,2)",262.1
2025/03/10,Romania,2013,Trichloromethane,377
2025/03/10,Slovakia,2019,Polycyclic aromatic hydrocarbons (PAHs),14.309999999999999
2025/03/10,Cyprus,2016,Total phosphorus,29980
2025/03/10,Slovakia,2010,Pentachlorophenol (PCP),17
2025/03/10,Denmark,2018,Zinc and compounds (as Zn),24232.805
2025/03/10,France,2007,Hexachlorobutadiene (HCBD),41.86
2025/03/10,Iceland,2010,Nickel and compounds (as Ni),98
2025/03/10,Switzerland,2018,Copper and compounds (as Cu),1208.44
2025/03/10,Romania,2016,Lead and compounds (as Pb),1627.3000000000002
2025/03/10,Luxembourg,2020,Total nitrogen,129000
2025/03/10,Iceland,2019,Fluorides (as total F),246018
2025/03/10,Germany,2011,Polychlorinated biphenyls (PCBs),0.9
2025/03/10,Portugal,2011,Arsenic and compounds (as As),917.58
2025/03/10,Cyprus,2021,Copper and compounds (as Cu),503
2025/03/10,Portugal,2016,Tetrachloroethylene,17.4
2025/03/10,Iceland,2014,Zinc and compounds (as Zn),3640
2025/03/10,Sweden,2021,PCDD + PCDF (dioxins + furans) (as Teq),0.00023
2025/03/10,Netherlands,2011,"Benzo(g,h,i)perylene",1.79
2025/03/10,Austria,2019,Cadmium and compounds (as Cd),15.280000000000001
2025/03/10,Iceland,2016,Chromium and compounds (as Cr),70
2025/03/10,Iceland,2015,Total organic carbon(as total C or COD/3) (TOC),189000
2025/03/10,Spain,2018,Vinyl chloride,541
2025/03/10,Spain,2012,"Chloro-alkanes, C10-C13",113
2025/03/10,Lithuania,2014,Mercury and compounds (as Hg),1
2025/03/10,Poland,2013,Total nitrogen,14471000
2025/03/10,Czechia,2014,Isoproturon,1.4
2025/03/10,Belgium,2007,Polycyclic aromatic hydrocarbons (PAHs),71.2
2025/03/10,Italy,2023,Total organic carbon(as total C or COD/3) (TOC),20725082.200000003
2025/03/10,Spain,2013,Total organic carbon(as total C or COD/3) (TOC),39722600
2025/03/10,Ireland,2007,Tetrachloromethane (TCM),9.299999999999999
2025/03/10,United Kingdom,2014,Di-(2-ethyl hexyl) phthalate (DEHP),10173.130000000001
2025/03/10,Ireland,2009,Nonylphenol and Nonylphenol ethoxylates,15.17
2025/03/10,Italy,2013,Isodrin,44.74999999999999
2025/03/10,Italy,2013,Triphenyltin and compounds,7
2025/03/10,Spain,2018,Chlorpyrifos,2
2025/03/10,Germany,2014,Mercury and compounds (as Hg),160.93
2025/03/10,Italy,2013,Atrazine,9
2025/03/10,France,2013,Chromium and compounds (as Cr),342010.29999999993
2025/03/10,Germany,2011,Trichloromethane,259.3
2025/03/10,Poland,2023,Trichloromethane,328.4
2025/03/10,France,2018,Arsenic and compounds (as As),2047.8200000000002
2025/03/10,Spain,2011,Cyanides (as total CN),8559.199999999999
2025/03/10,Ireland,2008,Nickel and compounds (as Ni),3077.4
2025/03/10,Austria,2010,Trichloroethylene (TRI),29.4
2025/03/10,France,2021,Lead and compounds (as Pb),3702.9999989999997
2025/03/10,Spain,2007,Tetrachloroethylene,276.9
2025/03/10,Norway,2014,Zinc and compounds (as Zn),233995
2025/03/10,United Kingdom,2008,Di-(2-ethyl hexyl) phthalate (DEHP),1273.7299999999998
2025/03/10,United Kingdom,2012,Chlorides (as total Cl),1485500000
2025/03/10,Belgium,2007,Chlorides (as total Cl),556780000
2025/03/10,Portugal,2022,Toluene,0.326
2025/03/10,Lithuania,2014,Total nitrogen,534200
2025/03/10,Slovakia,2016,Fluorides (as total F),83780
2025/03/10,Luxembourg,2011,Zinc and compounds (as Zn),240
2025/03/10,Portugal,2008,Di-(2-ethyl hexyl) phthalate (DEHP),1082.02
2025/03/10,Sweden,2011,Zinc and compounds (as Zn),87415
2025/03/10,Italy,2012,Triphenyltin and compounds,70.8
2025/03/10,Estonia,2018,Total organic carbon(as total C or COD/3) (TOC),1794300
2025/03/10,France,2014,Chlorides (as total Cl),1387720000
2025/03/10,Norway,2011,Total organic carbon(as total C or COD/3) (TOC),181561800
2025/03/10,Czechia,2019,Chromium and compounds (as Cr),853.15
2025/03/10,Germany,2008,Mercury and compounds (as Hg),277.82
2025/03/10,Germany,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.006993
2025/03/10,United Kingdom,2019,Anthracene,2816.3499999999995
2025/03/10,Greece,2022,Total nitrogen,4344600
2025/03/10,United Kingdom,2017,Naphthalene,96298.70000000001
2025/03/10,Spain,2009,Simazine,3.77
2025/03/10,Germany,2015,Dichloromethane (DCM),71.5
2025/03/10,Poland,2012,Lead and compounds (as Pb),36859.200000000004
2025/03/10,Hungary,2017,Chromium and compounds (as Cr),2091.6
2025/03/10,France,2019,Anthracene,12.7
2025/03/10,United Kingdom,2007,Trichloroethylene (TRI),125.60000000000001
2025/03/10,United Kingdom,2018,Fluorides (as total F),1577170
2025/03/10,Netherlands,2022,Copper and compounds (as Cu),4317.8
2025/03/10,Spain,2009,"1,2-dichloroethane (DCE-1,2)",364.7
2025/03/10,Spain,2010,Naphthalene,10.1
2025/03/10,Romania,2011,Cyanides (as total CN),1725
2025/03/10,Ireland,2010,Nonylphenol and Nonylphenol ethoxylates,14.510000000000002
2025/03/10,Slovakia,2012,Copper and compounds (as Cu),77.1
2025/03/10,France,2009,Mercury and compounds (as Hg),338.04999999999995
2025/03/10,Spain,2013,"Chloro-alkanes, C10-C13",130.98
2025/03/10,Germany,2020,Octylphenols and Octylphenol ethoxylates,25.2
2025/03/10,Serbia,2014,Fluoranthene,33
2025/03/10,Greece,2017,Copper and compounds (as Cu),6098
2025/03/10,Bulgaria,2008,Lead and compounds (as Pb),8041.700000000001
2025/03/10,Czechia,2013,Cadmium and compounds (as Cd),41.599999999999994
2025/03/10,Netherlands,2008,Cadmium and compounds (as Cd),325.67
2025/03/10,Romania,2015,Nickel and compounds (as Ni),3888
2025/03/10,Italy,2019,Tetrachloromethane (TCM),1642.4374000000003
2025/03/10,Spain,2018,Isoproturon,169.95999999999998
2025/03/10,Croatia,2014,Phenols (as total C),548.2
2025/03/10,Poland,2012,Total organic carbon(as total C or COD/3) (TOC),15023500
2025/03/10,Portugal,2011,Nonylphenol and Nonylphenol ethoxylates,1239.55
2025/03/10,Netherlands,2011,Fluoranthene,3.1999999999999997
2025/03/10,Czechia,2007,Lead and compounds (as Pb),1512
2025/03/10,Italy,2017,Heptachlor,25.400000000000002
2025/03/10,Netherlands,2013,Copper and compounds (as Cu),5451.5
2025/03/10,Serbia,2017,Copper and compounds (as Cu),567378
2025/03/10,Netherlands,2022,Cyanides (as total CN),9302
2025/03/10,Austria,2015,Halogenated organic compounds (as AOX),30160
2025/03/10,Italy,2021,Toluene,1873.601
2025/03/10,Iceland,2011,Total phosphorus,193200
2025/03/10,Finland,2012,Phenols (as total C),1475.1
2025/03/10,Serbia,2023,Cadmium and compounds (as Cd),27170.25
2025/03/10,Slovenia,2020,Chromium and compounds (as Cr),369
2025/03/10,Czechia,2022,Nickel and compounds (as Ni),4188.37253
2025/03/10,Switzerland,2021,Copper and compounds (as Cu),981.11
2025/03/10,Latvia,2010,Mercury and compounds (as Hg),9
2025/03/10,Spain,2014,Toxaphene,2.36
2025/03/10,France,2016,Mercury and compounds (as Hg),153.57
2025/03/10,Switzerland,2019,Lead and compounds (as Pb),316.15
2025/03/10,Switzerland,2019,Halogenated organic compounds (as AOX),31622
2025/03/10,Latvia,2008,Total nitrogen,2400000
2025/03/10,Latvia,2009,Mercury and compounds (as Hg),6.4
2025/03/10,Portugal,2011,Polycyclic aromatic hydrocarbons (PAHs),412
2025/03/10,Greece,2019,Mercury and compounds (as Hg),57.96
2025/03/10,France,2015,Benzene,241.1
2025/03/10,Italy,2010,Octylphenols and Octylphenol ethoxylates,71.01
2025/03/10,Italy,2008,Trichloroethylene (TRI),1589.2
2025/03/10,United Kingdom,2017,Tetrachloromethane (TCM),31.13
2025/03/10,Czechia,2012,Di-(2-ethyl hexyl) phthalate (DEHP),161
2025/03/10,Denmark,2023,Nonylphenol and Nonylphenol ethoxylates,177.755
2025/03/10,Italy,2021,"Benzo(g,h,i)perylene",8.6
2025/03/10,Czechia,2009,Phenols (as total C),1612.7
2025/03/10,Denmark,2023,Chromium and compounds (as Cr),213.65800000000002
2025/03/10,Italy,2008,Alachlor,27.6
2025/03/10,Portugal,2018,Fluorides (as total F),128840
2025/03/10,Finland,2023,Total organic carbon(as total C or COD/3) (TOC),24839400
2025/03/10,France,2011,Octylphenols and Octylphenol ethoxylates,89.89
2025/03/10,Italy,2018,Lindane,20.192
2025/03/10,Norway,2015,Total nitrogen,48899800
2025/03/10,Austria,2014,Mercury and compounds (as Hg),8
2025/03/10,Romania,2023,Total phosphorus,619910
2025/03/10,Germany,2012,Dichloromethane (DCM),138.7
2025/03/10,Greece,2020,Xylenes,171
2025/03/10,Malta,2012,Total phosphorus,255300
2025/03/10,Italy,2008,Endosulphan,27.6
2025/03/10,Finland,2023,Lead and compounds (as Pb),162.1
2025/03/10,Sweden,2015,Fluoranthene,1.2
2025/03/10,Poland,2019,Cyanides (as total CN),439.8
2025/03/10,Switzerland,2016,Fluorides (as total F),127500
2025/03/10,Latvia,2011,Lead and compounds (as Pb),243
2025/03/10,Denmark,2015,Total phosphorus,151400
2025/03/10,Croatia,2023,Total nitrogen,4168400
2025/03/10,Denmark,2020,Total phosphorus,134490.66669999997
2025/03/10,Latvia,2023,Chromium and compounds (as Cr),171
2025/03/10,France,2020,Polycyclic aromatic hydrocarbons (PAHs),23.42
2025/03/10,Italy,2019,Naphthalene,420.564
2025/03/10,Ireland,2018,Nickel and compounds (as Ni),1455.275
2025/03/10,Netherlands,2021,Phenols (as total C),992.6
2025/03/10,Netherlands,2009,Ethyl benzene,23.6
2025/03/10,Bulgaria,2009,Mercury and compounds (as Hg),5.23
2025/03/10,Slovakia,2013,Copper and compounds (as Cu),56.1
2025/03/10,Italy,2022,Atrazine,42.9559
2025/03/10,Netherlands,2020,Total nitrogen,9979600
2025/03/10,Spain,2007,Aldrin,15.4
2025/03/10,Switzerland,2014,Dichloromethane (DCM),1290
2025/03/10,United Kingdom,2017,Pentachlorophenol (PCP),8.25
2025/03/10,Italy,2019,Organotin compounds (as total Sn),124.897
2025/03/10,Austria,2016,Cyanides (as total CN),2176
2025/03/10,Luxembourg,2021,Arsenic and compounds (as As),5.7
2025/03/10,Denmark,2012,Zinc and compounds (as Zn),4059
2025/03/10,Slovenia,2011,Total organic carbon(as total C or COD/3) (TOC),1164300
2025/03/10,Estonia,2007,Copper and compounds (as Cu),1590.5
2025/03/10,Sweden,2018,Cyanides (as total CN),1017.3
2025/03/10,Czechia,2019,Nonylphenol and Nonylphenol ethoxylates,11.724
2025/03/10,Sweden,2017,Trichlorobenzenes (TCB),6
2025/03/10,Lithuania,2009,Mercury and compounds (as Hg),13
2025/03/10,Belgium,2015,Di-(2-ethyl hexyl) phthalate (DEHP),624.6800000000001
2025/03/10,Finland,2010,Octylphenols and Octylphenol ethoxylates,9.6
2025/03/10,Switzerland,2020,Dichloromethane (DCM),769
2025/03/10,Slovakia,2019,Halogenated organic compounds (as AOX),22030
2025/03/10,Poland,2021,"1,2-dichloroethane (DCE-1,2)",375
2025/03/10,Italy,2014,Simazine,10
2025/03/10,Sweden,2007,Toluene,30
2025/03/10,Finland,2010,Lead and compounds (as Pb),724.6
2025/03/10,Sweden,2007,"Benzo(g,h,i)perylene",230
2025/03/10,Netherlands,2021,Polychlorinated biphenyls (PCBs),0.3
2025/03/10,Czechia,2022,Cadmium and compounds (as Cd),34.798
2025/03/10,Serbia,2020,Fluoranthene,1.03
2025/03/10,Italy,2023,Halogenated organic compounds (as AOX),5169.52
2025/03/10,Italy,2007,Ethyl benzene,1080
2025/03/10,Italy,2016,Brominated diphenylethers (PBDE),559.26
2025/03/10,Finland,2022,Phenols (as total C),152
2025/03/10,Netherlands,2007,"Chloro-alkanes, C10-C13",2.5
2025/03/10,Spain,2010,Simazine,3.19
2025/03/10,Switzerland,2021,Cyanides (as total CN),23.464000000000002
2025/03/10,Croatia,2020,Phenols (as total C),1184.2
2025/03/10,Greece,2011,Chromium and compounds (as Cr),2380.5
2025/03/10,Serbia,2021,"Benzo(g,h,i)perylene",3.97
2025/03/10,Serbia,2021,Toluene,10.7
2025/03/10,Malta,2008,Fluorides (as total F),6130
2025/03/10,Luxembourg,2023,Arsenic and compounds (as As),7.77
2025/03/10,Portugal,2016,Octylphenols and Octylphenol ethoxylates,16.369999999999997
2025/03/10,Portugal,2014,Cyanides (as total CN),1950.7999999999997
2025/03/10,Slovakia,2017,Trichloroethylene (TRI),64.4
2025/03/10,Lithuania,2008,Total nitrogen,1290700
2025/03/10,Malta,2022,Total phosphorus,124510
2025/03/10,France,2011,Chlorpyrifos,4
2025/03/10,Slovenia,2019,Chlorides (as total Cl),2492892
2025/03/10,Romania,2014,Lead and compounds (as Pb),3284.5
2025/03/10,Iceland,2015,Nickel and compounds (as Ni),38
2025/03/10,Serbia,2018,Polychlorinated biphenyls (PCBs),1
2025/03/10,Portugal,2016,Trichloromethane,380.7
2025/03/10,Germany,2011,Vinyl chloride,31
2025/03/10,Cyprus,2023,Cadmium and compounds (as Cd),73.57
2025/03/10,Slovakia,2019,Tetrachloroethylene,12.5
2025/03/10,Portugal,2013,"Benzo(g,h,i)perylene",3.35
2025/03/10,Spain,2023,Organotin compounds (as total Sn),64.3
2025/03/10,Belgium,2014,Tetrachloromethane (TCM),5.9399999999999995
2025/03/10,Germany,2018,Zinc and compounds (as Zn),231050
2025/03/10,Spain,2015,Total nitrogen,56920100
2025/03/10,United Kingdom,2010,Fluorides (as total F),1718710
2025/03/10,Poland,2016,Phenols (as total C),9542.2
2025/03/10,Poland,2023,Tetrachloromethane (TCM),28.8
2025/03/10,Finland,2022,Copper and compounds (as Cu),7257.6
2025/03/10,Spain,2015,Mercury and compounds (as Hg),265.98
2025/03/10,Estonia,2009,Total organic carbon(as total C or COD/3) (TOC),1380300
2025/03/10,Spain,2008,Total nitrogen,39031900
2025/03/10,Finland,2013,Total organic carbon(as total C or COD/3) (TOC),36335700
2025/03/10,Germany,2012,Total nitrogen,42975900
2025/03/10,Estonia,2010,Total organic carbon(as total C or COD/3) (TOC),1178600
2025/03/10,Germany,2014,Total organic carbon(as total C or COD/3) (TOC),62086500
2025/03/10,France,2018,Total organic carbon(as total C or COD/3) (TOC),57555800
2025/03/10,Poland,2021,Total nitrogen,12465700
2025/03/10,Estonia,2019,Copper and compounds (as Cu),259
2025/03/10,United Kingdom,2013,Naphthalene,169461.60000000003
2025/03/10,United Kingdom,2013,Tetrachloromethane (TCM),63.400000000000006
2025/03/10,United Kingdom,2012,Tetrachloromethane (TCM),56.349999999999994
2025/03/10,Lithuania,2022,Chlorides (as total Cl),11810883
2025/03/10,Norway,2010,Toluene,816032
2025/03/10,Ireland,2008,Diuron,21.48
2025/03/10,Germany,2010,Lead and compounds (as Pb),9390.3
2025/03/10,Belgium,2010,Pentachlorophenol (PCP),5.49
2025/03/10,Finland,2019,Zinc and compounds (as Zn),41020
2025/03/10,Spain,2012,Mercury and compounds (as Hg),219.25
2025/03/10,Czechia,2011,Chlorides (as total Cl),49210000
2025/03/10,Spain,2012,Chromium and compounds (as Cr),6564.1
2025/03/10,Denmark,2022,Phenols (as total C),252.95
2025/03/10,Norway,2008,Copper and compounds (as Cu),12525.699999999999
2025/03/10,Ireland,2007,Fluoranthene,2.12
2025/03/10,Italy,2013,Endrin,37.97
2025/03/10,Italy,2021,Copper and compounds (as Cu),18814.9076
2025/03/10,Spain,2021,Halogenated organic compounds (as AOX),189320
2025/03/10,Germany,2019,Cyanides (as total CN),10557.1
2025/03/10,Spain,2007,"Benzo(g,h,i)perylene",31.5
2025/03/10,Serbia,2022,Simazine,1.39
2025/03/10,Germany,2009,Lead and compounds (as Pb),8217
2025/03/10,Italy,2011,Trichloromethane,3743.5
2025/03/10,Germany,2022,Chlorides (as total Cl),4571800000
2025/03/10,Germany,2013,Total nitrogen,43456700
2025/03/10,Italy,2017,Trichlorobenzenes (TCB),20.84
2025/03/10,Luxembourg,2013,Zinc and compounds (as Zn),270
2025/03/10,Sweden,2021,Nickel and compounds (as Ni),5990.5
2025/03/10,United Kingdom,2012,Naphthalene,92663
2025/03/10,Italy,2020,Hexachlorobenzene (HCB),26.0694
2025/03/10,Spain,2007,Phenols (as total C),29976.699999999997
2025/03/10,Estonia,2011,Arsenic and compounds (as As),255.6
2025/03/10,United Kingdom,2019,Halogenated organic compounds (as AOX),500570
2025/03/10,Germany,2008,Tributyltin and compounds,5.91
2025/03/10,Italy,2019,Zinc and compounds (as Zn),159638.99199999997
2025/03/10,Netherlands,2022,Chlorides (as total Cl),484720000
2025/03/10,Hungary,2017,Total organic carbon(as total C or COD/3) (TOC),5608700
2025/03/10,Italy,2007,Toluene,1360
2025/03/10,Malta,2017,Chromium and compounds (as Cr),693000
2025/03/10,Belgium,2013,Cyanides (as total CN),762.8
2025/03/10,Sweden,2023,Lead and compounds (as Pb),884.8100000000001
2025/03/10,Latvia,2017,Total phosphorus,57700
2025/03/10,Finland,2007,Chlorides (as total Cl),73130000
2025/03/10,Germany,2016,Halogenated organic compounds (as AOX),213110
2025/03/10,Germany,2011,Xylenes,399
2025/03/10,Portugal,2019,Lead and compounds (as Pb),1051.5
2025/03/10,Malta,2016,Nickel and compounds (as Ni),873
2025/03/10,Belgium,2008,Polycyclic aromatic hydrocarbons (PAHs),40
2025/03/10,United Kingdom,2018,PCDD + PCDF (dioxins + furans) (as Teq),0.004373
2025/03/10,Poland,2012,"1,2-dichloroethane (DCE-1,2)",653.4
2025/03/10,United Kingdom,2016,"Chloro-alkanes, C10-C13",17
2025/03/10,Belgium,2011,Zinc and compounds (as Zn),61937
2025/03/10,Netherlands,2023,Fluorides (as total F),430370
2025/03/10,Cyprus,2014,Zinc and compounds (as Zn),104
2025/03/10,Italy,2022,"Benzo(g,h,i)perylene",11.6123
2025/03/10,Sweden,2007,Trichloroethylene (TRI),61.2
2025/03/10,Spain,2013,Mercury and compounds (as Hg),312.09000000000003
2025/03/10,Malta,2016,Chlorides (as total Cl),58300000
2025/03/10,Italy,2009,"1,2-dichloroethane (DCE-1,2)",2191.2
2025/03/10,Italy,2007,Trichlorobenzenes (TCB),211.7
2025/03/10,France,2008,Alachlor,2.9
2025/03/10,Netherlands,2011,Mercury and compounds (as Hg),20.28
2025/03/10,Italy,2010,Tetrachloromethane (TCM),1534.2
2025/03/10,Netherlands,2013,Total nitrogen,10555600
2025/03/10,Spain,2017,Lead and compounds (as Pb),1972.6
2025/03/10,Finland,2016,Zinc and compounds (as Zn),61664
2025/03/10,Netherlands,2022,Trichloromethane,2803
2025/03/10,Finland,2016,Fluorides (as total F),150080
2025/03/10,Germany,2008,Diuron,44.99
2025/03/10,France,2011,Cyanides (as total CN),8267.4
2025/03/10,Poland,2023,Organotin compounds (as total Sn),1480
2025/03/10,Netherlands,2016,Halogenated organic compounds (as AOX),37820
2025/03/10,Serbia,2023,Copper and compounds (as Cu),51338.7
2025/03/10,Italy,2022,Fluorides (as total F),857636.2382
2025/03/10,Spain,2014,Dichloromethane (DCM),4720.8
2025/03/10,Switzerland,2015,Halogenated organic compounds (as AOX),25280
2025/03/10,Bulgaria,2020,Nickel and compounds (as Ni),4732
2025/03/10,Norway,2017,Sulphur oxides (SOX),1271200
2025/03/10,Italy,2021,Pentachlorophenol (PCP),39.540000000000006
2025/03/10,Greece,2019,Total nitrogen,3467700
2025/03/10,United Kingdom,2018,Dichloromethane (DCM),1081.8
2025/03/10,Czechia,2008,Mercury and compounds (as Hg),173.6
2025/03/10,France,2011,Tetrachloromethane (TCM),85.18
2025/03/10,Greece,2020,Arsenic and compounds (as As),886
2025/03/10,Norway,2015,Fluorides (as total F),1388360
2025/03/10,Greece,2007,Phenols (as total C),1255.8
2025/03/10,Austria,2011,Pentachlorophenol (PCP),4.23
2025/03/10,United Kingdom,2015,Ethyl benzene,73821
2025/03/10,United Kingdom,2016,Xylenes,221038
2025/03/10,Belgium,2022,"1,2-dichloroethane (DCE-1,2)",24.9
2025/03/10,France,2015,Phenols (as total C),38047.200000000004
2025/03/10,Belgium,2022,Organotin compounds (as total Sn),170
2025/03/10,Portugal,2021,Chromium and compounds (as Cr),2442.7999999999997
2025/03/10,United Kingdom,2016,Toluene,750502
2025/03/10,France,2022,Zinc and compounds (as Zn),58988
2025/03/10,Czechia,2016,Diuron,1.79
2025/03/10,Portugal,2020,Halogenated organic compounds (as AOX),235200
2025/03/10,Slovenia,2012,Dichloromethane (DCM),25
2025/03/10,Serbia,2018,Copper and compounds (as Cu),54681
2025/03/10,Germany,2023,Tetrachloroethylene,12
2025/03/10,Finland,2010,Cyanides (as total CN),1852
2025/03/10,Poland,2019,Lead and compounds (as Pb),16706.899999999998
2025/03/10,Hungary,2011,Nickel and compounds (as Ni),8897
2025/03/10,Portugal,2019,Octylphenols and Octylphenol ethoxylates,13.440000000000001
2025/03/10,Austria,2016,Lead and compounds (as Pb),1039.5
2025/03/10,Italy,2019,Aldrin,20.2297
2025/03/10,Latvia,2007,Chromium and compounds (as Cr),3144
2025/03/10,Finland,2015,Arsenic and compounds (as As),1348.76
2025/03/10,Denmark,2022,Cadmium and compounds (as Cd),5.202999999999999
2025/03/10,Switzerland,2016,Mercury and compounds (as Hg),19.43
2025/03/10,Netherlands,2010,"Benzo(g,h,i)perylene",9.5
2025/03/10,Spain,2015,Brominated diphenylethers (PBDE),1.01
2025/03/10,Netherlands,2012,Diuron,1.99
2025/03/10,France,2016,Total nitrogen,45879100
2025/03/10,Denmark,2023,Ammonia (NH3),377
2025/03/10,France,2023,Xylenes,871
2025/03/10,Italy,2011,Halogenated organic compounds (as AOX),2850
2025/03/10,Norway,2017,Xylenes,304762.2
2025/03/10,Portugal,2017,Chlorides (as total Cl),208130000
2025/03/10,Romania,2021,Cyanides (as total CN),2206
2025/03/10,Norway,2009,Toluene,850442
2025/03/10,France,2023,Total organic carbon(as total C or COD/3) (TOC),6008200
2025/03/10,Cyprus,2019,Total phosphorus,148580
2025/03/10,Switzerland,2021,Zinc and compounds (as Zn),2254.54
2025/03/10,France,2015,"Benzo(g,h,i)perylene",7.15
2025/03/10,Italy,2010,Naphthalene,60.6
2025/03/10,Germany,2014,Trichloromethane,682.7
2025/03/10,Cyprus,2018,Copper and compounds (as Cu),149.8
2025/03/10,Portugal,2014,Total nitrogen,12618200
2025/03/10,Italy,2009,Naphthalene,91
2025/03/10,Serbia,2017,Total nitrogen,20722000
2025/03/10,Sweden,2011,Fluoranthene,6.1
2025/03/10,Poland,2007,Trichloromethane,1741.3
2025/03/10,Portugal,2016,Di-(2-ethyl hexyl) phthalate (DEHP),1153.1599999999999
2025/03/10,France,2010,Vinyl chloride,592.1
2025/03/10,Romania,2008,Trichloroethylene (TRI),167
2025/03/10,United Kingdom,2008,Atrazine,1.01
2025/03/10,Norway,2014,Naphthalene,54807.2
2025/03/10,Norway,2008,Di-(2-ethyl hexyl) phthalate (DEHP),222.60000000000002
2025/03/10,Slovakia,2021,Trichlorobenzenes (TCB),7.43
2025/03/10,Sweden,2016,PCDD + PCDF (dioxins + furans) (as Teq),0.00402
2025/03/10,Slovenia,2023,Chlorides (as total Cl),2684984
2025/03/10,Poland,2018,Hexachlorobenzene (HCB),1.48
2025/03/10,Finland,2008,Chromium and compounds (as Cr),2680.7
2025/03/10,Serbia,2015,Cyanides (as total CN),909
2025/03/10,Spain,2013,Pentachlorophenol (PCP),1.43
2025/03/10,Belgium,2019,Vinyl chloride,22.9
2025/03/10,Greece,2022,Copper and compounds (as Cu),8859
2025/03/10,Portugal,2009,PCDD + PCDF (dioxins + furans) (as Teq),0.0002
2025/03/10,France,2023,"Chloro-alkanes, C10-C13",4.93
2025/03/10,Czechia,2011,Trichloromethane,148
