PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Iceland,2011,Arsenic and compounds (as As),129
2025/03/10,France,2015,Toxaphene,2
2025/03/10,Switzerland,2021,Total nitrogen,8074320
2025/03/10,Czechia,2018,Mercury and compounds (as Hg),59.129999999999995
2025/03/10,United Kingdom,2009,Fluoranthene,147.42000000000002
2025/03/10,Poland,2011,Total organic carbon(as total C or COD/3) (TOC),17160000
2025/03/10,Belgium,2009,Copper and compounds (as Cu),5694.7
2025/03/10,Slovenia,2020,Total phosphorus,105154
2025/03/10,Latvia,2009,Zinc and compounds (as Zn),2460
2025/03/10,Latvia,2010,Zinc and compounds (as Zn),3660
2025/03/10,United Kingdom,2009,Cyanides (as total CN),18005.3
2025/03/10,Spain,2017,Vinyl chloride,508.1
2025/03/10,Slovakia,2011,Trichloromethane,211
2025/03/10,Ireland,2019,Diuron,8.035
2025/03/10,Portugal,2015,Chromium and compounds (as Cr),6582.8
2025/03/10,France,2016,Tetrachloroethylene,683.9
2025/03/10,Sweden,2018,Zinc and compounds (as Zn),73774
2025/03/10,Germany,2013,Octylphenols and Octylphenol ethoxylates,35.42
2025/03/10,Switzerland,2019,Fluorides (as total F),127470
2025/03/10,Romania,2016,Cadmium and compounds (as Cd),86
2025/03/10,France,2015,Toluene,1343.1
2025/03/10,Bulgaria,2020,Total organic carbon(as total C or COD/3) (TOC),3744490
2025/03/10,Spain,2013,Fluoranthene,53.39
2025/03/10,Serbia,2011,Cadmium and compounds (as Cd),2494
2025/03/10,Poland,2009,"1,2-dichloroethane (DCE-1,2)",549.8
2025/03/10,Greece,2023,Copper and compounds (as Cu),7856
2025/03/10,Romania,2021,Mercury and compounds (as Hg),28.24
2025/03/10,Bulgaria,2013,Arsenic and compounds (as As),1784.98
2025/03/10,Sweden,2008,Di-(2-ethyl hexyl) phthalate (DEHP),740.4
2025/03/10,Belgium,2019,Lead and compounds (as Pb),1049
2025/03/10,Norway,2017,"Chloro-alkanes, C10-C13",2.93
2025/03/10,Greece,2020,Ethyl benzene,22
2025/03/10,Czechia,2022,Chromium and compounds (as Cr),973.01
2025/03/10,Serbia,2011,Lead and compounds (as Pb),47001
2025/03/10,Greece,2015,Copper and compounds (as Cu),3009
2025/03/10,Malta,2010,Cadmium and compounds (as Cd),5.39
2025/03/10,Serbia,2016,"Benzo(g,h,i)perylene",8
2025/03/10,Norway,2016,"1,1,1-trichloroethane (TCE-1,1,1)",0.18924999999999997
2025/03/10,Netherlands,2015,Fluorides (as total F),480750
2025/03/10,Hungary,2023,Arsenic and compounds (as As),120.1
2025/03/10,Estonia,2017,Copper and compounds (as Cu),167
2025/03/10,Austria,2017,Diuron,3.67
2025/03/10,Italy,2011,Atrazine,67.11
2025/03/10,Bulgaria,2023,Chromium and compounds (as Cr),6599
2025/03/10,Czechia,2019,Phenols (as total C),1772.651
2025/03/10,Poland,2019,Zinc and compounds (as Zn),171310
2025/03/10,Lithuania,2012,Total organic carbon(as total C or COD/3) (TOC),374000
2025/03/10,Spain,2018,Naphthalene,11.5
2025/03/10,Austria,2017,Isoproturon,1.1
2025/03/10,Italy,2015,Tetrachloromethane (TCM),31.14
2025/03/10,Serbia,2018,Tetrachloromethane (TCM),589
2025/03/10,Denmark,2023,Vinyl chloride,0
2025/03/10,Italy,2012,Heptachlor,8
2025/03/10,Belgium,2014,Total nitrogen,3594300
2025/03/10,Hungary,2013,Mercury and compounds (as Hg),102.85000000000001
2025/03/10,Poland,2018,Polycyclic aromatic hydrocarbons (PAHs),66.7
2025/03/10,France,2013,Toluene,3887.5
2025/03/10,Slovenia,2009,Arsenic and compounds (as As),40
2025/03/10,France,2021,"Benzo(g,h,i)perylene",4.59
2025/03/10,Ireland,2013,Lead and compounds (as Pb),1127
2025/03/10,Slovakia,2007,Trichloroethylene (TRI),227
2025/03/10,Germany,2007,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",15.2
2025/03/10,Finland,2007,Nickel and compounds (as Ni),10535.7
2025/03/10,Slovakia,2007,"1,2-dichloroethane (DCE-1,2)",3590
2025/03/10,Belgium,2018,Cyanides (as total CN),1166.4
2025/03/10,Switzerland,2010,Chlorides (as total Cl),79050000
2025/03/10,Norway,2013,Ammonia (NH3),19024.1
2025/03/10,Poland,2019,Lindane,1.11
2025/03/10,Cyprus,2016,Cadmium and compounds (as Cd),18.6
2025/03/10,Portugal,2016,Cyanides (as total CN),657.6
2025/03/10,Lithuania,2018,Lead and compounds (as Pb),120
2025/03/10,Germany,2011,Tetrachloromethane (TCM),11.3
2025/03/10,Germany,2008,Vinyl chloride,50
2025/03/10,Serbia,2019,Hexachlorobutadiene (HCBD),675
2025/03/10,Poland,2010,Naphthalene,136
2025/03/10,Slovenia,2007,Copper and compounds (as Cu),854
2025/03/10,Austria,2021,Total organic carbon(as total C or COD/3) (TOC),15282700
2025/03/10,Slovakia,2010,Lead and compounds (as Pb),26
2025/03/10,Italy,2015,Pentachlorophenol (PCP),10.600000000000001
2025/03/10,Portugal,2012,Cyanides (as total CN),2998.8
2025/03/10,Slovakia,2014,Chlorides (as total Cl),13470000
2025/03/10,Bulgaria,2019,Copper and compounds (as Cu),5528
2025/03/10,Belgium,2018,Fluoranthene,3.08
2025/03/10,Norway,2014,Xylenes,157498.7
2025/03/10,Finland,2021,Chromium and compounds (as Cr),1818.3000000000002
2025/03/10,Slovenia,2021,Halogenated organic compounds (as AOX),1303
2025/03/10,Italy,2021,"1,2,3,4,5,6-hexachlorocyclohexane (HCH)",20.173
2025/03/10,Lithuania,2021,Phenols (as total C),66.4
2025/03/10,Greece,2017,Halogenated organic compounds (as AOX),38000
2025/03/10,Slovakia,2009,Lead and compounds (as Pb),89.19999999999999
2025/03/10,Portugal,2011,Toluene,0.414
2025/03/10,Portugal,2012,Fluoranthene,1.29
2025/03/10,Czechia,2011,Benzene,229
2025/03/10,Czechia,2016,Alachlor,10
2025/03/10,Czechia,2016,"1,2-dichloroethane (DCE-1,2)",50
2025/03/10,Croatia,2016,Lead and compounds (as Pb),87.5
2025/03/10,Poland,2008,Hexachlorobenzene (HCB),1.6
2025/03/10,Belgium,2018,Diuron,10.6
2025/03/10,Czechia,2017,Trichloromethane,54
2025/03/10,Estonia,2009,Phenols (as total C),148
2025/03/10,Ireland,2022,Aldrin,59
2025/03/10,Italy,2015,Naphthalene,99.4
2025/03/10,Slovenia,2008,Polychlorinated biphenyls (PCBs),0.31
2025/03/10,Slovenia,2011,Di-(2-ethyl hexyl) phthalate (DEHP),16.5
2025/03/10,Sweden,2015,Lead and compounds (as Pb),1190.1
2025/03/10,Switzerland,2008,Chlorides (as total Cl),63520000
2025/03/10,Spain,2015,Chlorides (as total Cl),766640000
2025/03/10,Italy,2013,"Benzo(g,h,i)perylene",18.46
2025/03/10,Belgium,2008,Brominated diphenylethers (PBDE),38.79
2025/03/10,Poland,2023,Fluoranthene,648
2025/03/10,Bulgaria,2018,Total nitrogen,2333124.585
2025/03/10,Greece,2021,Arsenic and compounds (as As),946.7
2025/03/10,Sweden,2009,Halogenated organic compounds (as AOX),504140
2025/03/10,Poland,2008,Hexachlorobutadiene (HCBD),9.040000000000001
2025/03/10,Italy,2013,Di-(2-ethyl hexyl) phthalate (DEHP),217.04000000000002
2025/03/10,Finland,2019,Lead and compounds (as Pb),367.5
2025/03/10,Spain,2008,Chlorides (as total Cl),1834840000
2025/03/10,Ireland,2009,Nickel and compounds (as Ni),3254
2025/03/10,Ireland,2016,Chromium and compounds (as Cr),50.9
2025/03/10,Italy,2017,Lead and compounds (as Pb),29449.199999999997
2025/03/10,Poland,2018,Arsenic and compounds (as As),6433.22
2025/03/10,France,2018,Hexachlorobutadiene (HCBD),158.52
2025/03/10,Belgium,2022,Cyanides (as total CN),4250.2
2025/03/10,Norway,2009,Di-(2-ethyl hexyl) phthalate (DEHP),552.8
2025/03/10,Hungary,2007,Fluorides (as total F),10330
2025/03/10,United Kingdom,2011,Nickel and compounds (as Ni),38281.9
2025/03/10,Italy,2017,Arsenic and compounds (as As),16613.44
2025/03/10,Lithuania,2022,Total nitrogen,1557523
2025/03/10,Poland,2018,Tetrachloroethylene,51.900000000000006
2025/03/10,Spain,2009,Chromium and compounds (as Cr),3124.1
2025/03/10,Finland,2011,Total nitrogen,7309900
2025/03/10,Austria,2010,Nickel and compounds (as Ni),5104.9
2025/03/10,Poland,2014,Chlorides (as total Cl),2814670000
2025/03/10,Italy,2013,Tetrachloromethane (TCM),1592.7499999999998
2025/03/10,Austria,2009,Nickel and compounds (as Ni),8477.6
2025/03/10,Germany,2008,Cadmium and compounds (as Cd),587.89
2025/03/10,Portugal,2022,Copper and compounds (as Cu),3334.1
2025/03/10,Ireland,2007,Brominated diphenylethers (PBDE),107.47
2025/03/10,Ireland,2008,Di-(2-ethyl hexyl) phthalate (DEHP),301.01
2025/03/10,Hungary,2007,Cadmium and compounds (as Cd),50.5
2025/03/10,France,2014,Phenols (as total C),31451.100000000002
2025/03/10,Germany,2022,Total nitrogen,34030100
2025/03/10,Finland,2022,Cyanides (as total CN),2660
2025/03/10,Norway,2010,Di-(2-ethyl hexyl) phthalate (DEHP),258.6
2025/03/10,Italy,2012,Pentachlorophenol (PCP),122.7
2025/03/10,Spain,2021,Atrazine,102.22
2025/03/10,United Kingdom,2011,Octylphenols and Octylphenol ethoxylates,34.74
2025/03/10,Bulgaria,2017,Zinc and compounds (as Zn),26909
2025/03/10,Italy,2010,Copper and compounds (as Cu),31550.9
2025/03/10,Spain,2022,Pentachlorophenol (PCP),17.880000000000003
2025/03/10,United Kingdom,2017,Zinc and compounds (as Zn),288835
2025/03/10,Italy,2011,Polychlorinated biphenyls (PCBs),62.580000000000005
2025/03/10,Romania,2019,Lead and compounds (as Pb),1321
2025/03/10,Germany,2013,Chlorides (as total Cl),7445160000
2025/03/10,United Kingdom,2017,Halogenated organic compounds (as AOX),497840
2025/03/10,Italy,2011,Total nitrogen,28317500
2025/03/10,United Kingdom,2018,Copper and compounds (as Cu),90314.09999999999
2025/03/10,Spain,2021,Hexachlorobenzene (HCB),43.36
2025/03/10,Germany,2012,Trichloromethane,347.1
2025/03/10,France,2010,Anthracene,25.22
2025/03/10,Malta,2017,Copper and compounds (as Cu),61.8
2025/03/10,Austria,2014,Zinc and compounds (as Zn),100550
2025/03/10,Austria,2023,Trichloromethane,82
2025/03/10,Spain,2010,Nonylphenol and Nonylphenol ethoxylates,967.2500000000002
2025/03/10,Lithuania,2016,Copper and compounds (as Cu),166.2
2025/03/10,Portugal,2011,Anthracene,3.24
2025/03/10,Latvia,2018,Total phosphorus,54800
2025/03/10,Spain,2009,Nonylphenol and Nonylphenol ethoxylates,749.75
2025/03/10,Ireland,2010,Isodrin,12.870000000000001
2025/03/10,France,2008,Xylenes,1408.2
2025/03/10,Italy,2015,Mercury and compounds (as Hg),640.48
2025/03/10,Spain,2013,Cyanides (as total CN),14095.3
2025/03/10,Romania,2015,Di-(2-ethyl hexyl) phthalate (DEHP),860
2025/03/10,Bulgaria,2008,Cadmium and compounds (as Cd),2785.04
2025/03/10,Ireland,2010,Nickel and compounds (as Ni),3187.1000000000004
2025/03/10,Austria,2014,Total phosphorus,355220
2025/03/10,Spain,2019,Vinyl chloride,493.6
2025/03/10,Czechia,2021,Nonylphenol and Nonylphenol ethoxylates,28.525
2025/03/10,Spain,2008,Arsenic and compounds (as As),3182.1600000000003
2025/03/10,Netherlands,2010,Total organic carbon(as total C or COD/3) (TOC),21031100
2025/03/10,Poland,2007,Nickel and compounds (as Ni),78737.79999999999
2025/03/10,Italy,2013,Pentachlorophenol (PCP),10.51
2025/03/10,Germany,2021,Isoproturon,27.38
2025/03/10,Portugal,2019,Total organic carbon(as total C or COD/3) (TOC),19978400
2025/03/10,Latvia,2018,Zinc and compounds (as Zn),2810
2025/03/10,Malta,2016,Total nitrogen,914800
2025/03/10,Cyprus,2015,Mercury and compounds (as Hg),5.09
2025/03/10,France,2007,Copper and compounds (as Cu),53770.399999999994
2025/03/10,Sweden,2007,Copper and compounds (as Cu),11883.300000000001
2025/03/10,Norway,2009,"Benzo(g,h,i)perylene",1.06
2025/03/10,Romania,2007,Total phosphorus,1075120
2025/03/10,Hungary,2012,Mercury and compounds (as Hg),100.38000000000001
2025/03/10,Germany,2021,Nickel and compounds (as Ni),27783.2
2025/03/10,Spain,2010,Chromium and compounds (as Cr),6210.700000000001
2025/03/10,Sweden,2011,"1,2-dichloroethane (DCE-1,2)",47
2025/03/10,Greece,2017,Zinc and compounds (as Zn),29763
2025/03/10,Portugal,2015,Polycyclic aromatic hydrocarbons (PAHs),5.5
2025/03/10,Serbia,2016,Fluorides (as total F),371540
2025/03/10,Portugal,2018,Copper and compounds (as Cu),2867
2025/03/10,Bulgaria,2022,Total nitrogen,1908691
2025/03/10,Latvia,2013,Nickel and compounds (as Ni),402
2025/03/10,France,2011,Copper and compounds (as Cu),31766.600000000002
2025/03/10,Switzerland,2014,Cadmium and compounds (as Cd),8
2025/03/10,Norway,2012,Isoproturon,251885.55999999997
2025/03/10,Czechia,2017,Total organic carbon(as total C or COD/3) (TOC),5405800
2025/03/10,Sweden,2012,Total nitrogen,9549800
2025/03/10,Latvia,2013,Lead and compounds (as Pb),88.3
2025/03/10,Serbia,2017,Arsenic and compounds (as As),20655
2025/03/10,Serbia,2016,Phenols (as total C),1324
2025/03/10,Germany,2021,Anthracene,2.9
2025/03/10,Iceland,2018,Toluene,253
2025/03/10,Sweden,2020,Total phosphorus,291580
2025/03/10,Spain,2008,Tetrachloroethylene,98.6
2025/03/10,France,2018,Pentachlorobenzene,33
2025/03/10,Switzerland,2019,Cadmium and compounds (as Cd),29.97
2025/03/10,Ireland,2013,Benzene,247
2025/03/10,Poland,2015,Total nitrogen,11893100
2025/03/10,Italy,2007,Octylphenols and Octylphenol ethoxylates,7.73
2025/03/10,Czechia,2020,Total nitrogen,3953251.88
2025/03/10,Hungary,2009,Copper and compounds (as Cu),4938.4
2025/03/10,Ireland,2017,Simazine,2.08
2025/03/10,Cyprus,2019,Lead and compounds (as Pb),102.4
2025/03/10,Sweden,2018,Halogenated organic compounds (as AOX),447980
2025/03/10,France,2016,Chlorides (as total Cl),1439960000
2025/03/10,Ireland,2017,Di-(2-ethyl hexyl) phthalate (DEHP),272.95
2025/03/10,Austria,2007,Total nitrogen,5243000
2025/03/10,Germany,2011,Di-(2-ethyl hexyl) phthalate (DEHP),736.34
2025/03/10,Slovenia,2017,Total organic carbon(as total C or COD/3) (TOC),789000
2025/03/10,Switzerland,2011,Cadmium and compounds (as Cd),38.2
2025/03/10,Slovakia,2020,Trichloromethane,163
2025/03/10,Austria,2011,Tributyltin and compounds,8.88
2025/03/10,Sweden,2012,Trichlorobenzenes (TCB),7.84
2025/03/10,Lithuania,2021,Nickel and compounds (as Ni),445.3
2025/03/10,Portugal,2021,Arsenic and compounds (as As),767.01
2025/03/10,Italy,2018,Mirex,36.2
2025/03/10,Germany,2018,Trichlorobenzenes (TCB),2
2025/03/10,Malta,2010,Fluorides (as total F),4500
2025/03/10,Czechia,2008,Lead and compounds (as Pb),3027.4
2025/03/10,Norway,2010,"Benzo(g,h,i)perylene",7
2025/03/10,Portugal,2017,Total nitrogen,13179900
2025/03/10,Czechia,2009,Dichloromethane (DCM),25.1
2025/03/10,France,2023,"Benzo(g,h,i)perylene",1.3
2025/03/10,Latvia,2012,Nickel and compounds (as Ni),290
2025/03/10,Netherlands,2015,Phenols (as total C),943
2025/03/10,Finland,2018,Chromium and compounds (as Cr),2136.2
2025/03/10,Netherlands,2018,"1,2-dichloroethane (DCE-1,2)",17.1
2025/03/10,Czechia,2021,Polycyclic aromatic hydrocarbons (PAHs),10.3
2025/03/10,United Kingdom,2009,Tributyltin and compounds,40000
2025/03/10,Spain,2023,Hexachlorobenzene (HCB),22.65
2025/03/10,Hungary,2021,Arsenic and compounds (as As),109.3
2025/03/10,Italy,2019,Hexachlorobenzene (HCB),17.055
2025/03/10,Belgium,2007,Phenols (as total C),2153.4
2025/03/10,Slovenia,2008,Lead and compounds (as Pb),86.2
2025/03/10,Italy,2019,Atrazine,17.055
2025/03/10,Bulgaria,2021,Nickel and compounds (as Ni),6414
2025/03/10,Slovenia,2009,Nonylphenol and Nonylphenol ethoxylates,29.54
2025/03/10,Belgium,2015,Brominated diphenylethers (PBDE),17.5
2025/03/10,Italy,2012,Alachlor,8
2025/03/10,Austria,2022,Zinc and compounds (as Zn),70100
2025/03/10,Portugal,2010,Ethyl benzene,28.9
2025/03/10,Bulgaria,2023,Mercury and compounds (as Hg),60
2025/03/10,Iceland,2017,Ethyl benzene,7
2025/03/10,Austria,2016,Mercury and compounds (as Hg),5.29
2025/03/10,Serbia,2019,Lead and compounds (as Pb),9215.3
2025/03/10,Switzerland,2010,Halogenated organic compounds (as AOX),31660
2025/03/10,Luxembourg,2015,Lead and compounds (as Pb),53.4
2025/03/10,Portugal,2019,Halogenated organic compounds (as AOX),238840
2025/03/10,Iceland,2022,Total phosphorus,522287
2025/03/10,Austria,2016,Dichloromethane (DCM),13
2025/03/10,Switzerland,2009,Halogenated organic compounds (as AOX),3680
2025/03/10,Ireland,2012,Benzene,183
2025/03/10,Serbia,2015,Mercury and compounds (as Hg),1081
2025/03/10,Poland,2019,Halogenated organic compounds (as AOX),76500
2025/03/10,Cyprus,2017,Zinc and compounds (as Zn),331
2025/03/10,Slovakia,2010,Hexachlorobutadiene (HCBD),17
2025/03/10,Switzerland,2022,Mercury and compounds (as Hg),9.021
2025/03/10,Romania,2013,Cyanides (as total CN),3380.3
2025/03/10,Belgium,2015,Pentachlorophenol (PCP),12.52
2025/03/10,Italy,2022,Xylenes,878.9353
2025/03/10,Italy,2010,Simazine,75.41
2025/03/10,Portugal,2014,Tetrachloroethylene,1899
2025/03/10,Finland,2014,Nonylphenol and Nonylphenol ethoxylates,3.37
2025/03/10,Italy,2016,Pentachlorobenzene,45.07
2025/03/10,Malta,2007,Lead and compounds (as Pb),22
2025/03/10,Belgium,2019,Hexachlorobutadiene (HCBD),1.11
