PublicationDate,countryName,reportingYear,Pollutant,Releases
2025/03/10,Spain,2019,Nickel and compounds (as Ni),32419
2025/03/10,Norway,2008,Cadmium and compounds (as Cd),126.69999999999999
2025/03/10,Germany,2022,Tetrachloromethane (TCM),910
2025/03/10,Sweden,2014,Nitrogen oxides (NOX),26800000
2025/03/10,United Kingdom,2007,Trichloromethane,54954
2025/03/10,Switzerland,2007,Zinc and compounds (as Zn),17438
2025/03/10,Sweden,2019,Carbon monoxide (CO),49807000
2025/03/10,Estonia,2022,Zinc and compounds (as Zn),7812
2025/03/10,Czechia,2017,Di-(2-ethyl hexyl) phthalate (DEHP),84
2025/03/10,Austria,2009,Copper and compounds (as Cu),458
2025/03/10,Czechia,2020,Vinyl chloride,2286
2025/03/10,Iceland,2019,Carbon monoxide (CO),43188490
2025/03/10,Bulgaria,2015,Lead and compounds (as Pb),7386
2025/03/10,Finland,2022,Naphthalene,886
2025/03/10,Portugal,2011,Carbon monoxide (CO),17755000
2025/03/10,Sweden,2012,Hydrochlorofluorocarbons (HCFCs),867.2
2025/03/10,Czechia,2020,Lead and compounds (as Pb),4614.143428
2025/03/10,Austria,2022,Non-methane volatile organic compounds (NMVOC),2434000
2025/03/10,Poland,2015,PCDD + PCDF (dioxins + furans) (as Teq),0.195596
2025/03/10,Netherlands,2023,Nickel and compounds (as Ni),795
2025/03/10,Portugal,2011,Trichloromethane,19800
2025/03/10,Estonia,2021,Copper and compounds (as Cu),722
2025/03/10,Greece,2013,Zinc and compounds (as Zn),35624
2025/03/10,Netherlands,2015,Particulate matter (PM10),1895000
2025/03/10,Spain,2014,Lead and compounds (as Pb),19765
2025/03/10,Cyprus,2014,Arsenic and compounds (as As),111.4
2025/03/10,Netherlands,2015,Ammonia (NH3),2672700
2025/03/10,Austria,2013,Cadmium and compounds (as Cd),27.2
2025/03/10,Poland,2015,Chromium and compounds (as Cr),7612
2025/03/10,Switzerland,2018,Non-methane volatile organic compounds (NMVOC),940213
2025/03/10,Greece,2016,Mercury and compounds (as Hg),1147.2
2025/03/10,Belgium,2007,Polychlorinated biphenyls (PCBs),78.363
2025/03/10,Portugal,2019,Hydrochlorofluorocarbons (HCFCs),13.3
2025/03/10,Czechia,2011,Copper and compounds (as Cu),3582
2025/03/10,Portugal,2007,Cadmium and compounds (as Cd),1132
2025/03/10,Finland,2019,Arsenic and compounds (as As),334.3
2025/03/10,Poland,2015,Hydrochlorofluorocarbons (HCFCs),2961.6400000000003
2025/03/10,Czechia,2016,Sulphur oxides (SOX),85350000
2025/03/10,Spain,2014,Vinyl chloride,22750
2025/03/10,Czechia,2010,Naphthalene,46800
2025/03/10,Czechia,2010,Tetrachloromethane (TCM),103
2025/03/10,Romania,2018,Carbon dioxide (CO2),36857000000
2025/03/10,Slovakia,2020,Naphthalene,12300
2025/03/10,Romania,2016,Polycyclic aromatic hydrocarbons (PAHs),5930
2025/03/10,Spain,2014,Sulphur hexafluoride (SF6),74.3
2025/03/10,Denmark,2022,Polycyclic aromatic hydrocarbons (PAHs),0.00365
2025/03/10,Denmark,2011,Nickel and compounds (as Ni),1030
2025/03/10,Sweden,2007,Hydrochlorofluorocarbons (HCFCs),463
2025/03/10,Romania,2018,Nitrogen oxides (NOX),45162000
2025/03/10,Hungary,2021,PCDD + PCDF (dioxins + furans) (as Teq),0.0051
2025/03/10,Netherlands,2018,Arsenic and compounds (as As),248
2025/03/10,Lithuania,2017,Nitrous oxide (N2O),764000
2025/03/10,Greece,2020,Ammonia (NH3),178300
2025/03/10,Slovenia,2013,Lead and compounds (as Pb),675
2025/03/10,Sweden,2017,Chlorine and inorganic compounds (as HCl),161000
2025/03/10,Czechia,2012,Methane (CH4),3794000
2025/03/10,Hungary,2009,Hydrogen cyanide (HCN),2700
2025/03/10,Greece,2020,Non-methane volatile organic compounds (NMVOC),5373000
2025/03/10,Czechia,2008,Carbon dioxide (CO2),79940000000
2025/03/10,Lithuania,2011,Sulphur oxides (SOX),15724000
2025/03/10,Austria,2010,Copper and compounds (as Cu),458
2025/03/10,Greece,2012,Zinc and compounds (as Zn),32389
2025/03/10,Ireland,2017,Non-methane volatile organic compounds (NMVOC),2720000
2025/03/10,Lithuania,2012,Fluorine and inorganic compounds (as HF),13200
2025/03/10,Czechia,2008,Nitrogen oxides (NOX),122847000
2025/03/10,Netherlands,2019,Sulphur hexafluoride (SF6),104
2025/03/10,Slovenia,2017,Carbon dioxide (CO2),5796000000
2025/03/10,Denmark,2016,Arsenic and compounds (as As),27
2025/03/10,Austria,2012,Hydrochlorofluorocarbons (HCFCs),279
2025/03/10,France,2018,Hydrogen cyanide (HCN),104762
2025/03/10,Hungary,2011,Zinc and compounds (as Zn),5860
2025/03/10,Germany,2010,"1,2-dichloroethane (DCE-1,2)",244450
2025/03/10,Austria,2021,Ammonia (NH3),278400
2025/03/10,Netherlands,2019,Lead and compounds (as Pb),2138
2025/03/10,Slovenia,2017,Nitrogen oxides (NOX),5648000
2025/03/10,Norway,2007,"1,2-dichloroethane (DCE-1,2)",8770
2025/03/10,Hungary,2013,Vinyl chloride,5170
2025/03/10,Estonia,2023,Chromium and compounds (as Cr),248
2025/03/10,Malta,2012,Cadmium and compounds (as Cd),36
2025/03/10,Austria,2021,Fluorine and inorganic compounds (as HF),7530
2025/03/10,Malta,2010,Nickel and compounds (as Ni),5320
2025/03/10,Belgium,2022,Polychlorinated biphenyls (PCBs),10.701000000000002
2025/03/10,Hungary,2021,Vinyl chloride,7290
2025/03/10,Switzerland,2017,Polycyclic aromatic hydrocarbons (PAHs),100
2025/03/10,Romania,2020,Carbon dioxide (CO2) excluding biomass,38200000
2025/03/10,Portugal,2011,Copper and compounds (as Cu),981
2025/03/10,United Kingdom,2007,"1,2-dichloroethane (DCE-1,2)",274300
2025/03/10,Germany,2009,"1,2-dichloroethane (DCE-1,2)",68900
2025/03/10,Hungary,2008,Polycyclic aromatic hydrocarbons (PAHs),252
2025/03/10,Slovakia,2012,Nitrous oxide (N2O),585000
2025/03/10,Slovenia,2020,Nickel and compounds (as Ni),143.73000000000002
2025/03/10,Poland,2017,Dichloromethane (DCM),92500
2025/03/10,Poland,2016,Vinyl chloride,11000
2025/03/10,Slovakia,2007,Nitrous oxide (N2O),34000
2025/03/10,Croatia,2022,PCDD + PCDF (dioxins + furans) (as Teq),0.0005
2025/03/10,Romania,2012,Arsenic and compounds (as As),42
2025/03/10,Czechia,2015,Methane (CH4),2163000
2025/03/10,Greece,2022,Perfluorocarbons (PFCs),8860
2025/03/10,Switzerland,2017,Trichloroethylene (TRI),10300
2025/03/10,Ireland,2016,Nickel and compounds (as Ni),163.1
2025/03/10,Sweden,2023,Perfluorocarbons (PFCs),4403
2025/03/10,Ireland,2008,Chromium and compounds (as Cr),113
2025/03/10,France,2021,Chlorofluorocarbons (CFCs),70.930003
2025/03/10,Germany,2010,Trichloromethane,1690
2025/03/10,Serbia,2023,Aldrin,932
2025/03/10,Bulgaria,2018,Chlorine and inorganic compounds (as HCl),7333.31
2025/03/10,Ireland,2014,Arsenic and compounds (as As),50.1
2025/03/10,Luxembourg,2017,Mercury and compounds (as Hg),14.5
2025/03/10,Portugal,2012,Lead and compounds (as Pb),2969
2025/03/10,Switzerland,2022,Zinc and compounds (as Zn),3753.8
2025/03/10,Switzerland,2019,Hydro-fluorocarbons (HFCS),237.8
2025/03/10,Finland,2008,Dichloromethane (DCM),8310
2025/03/10,Czechia,2009,Naphthalene,50000
2025/03/10,Lithuania,2020,Benzene,39100
2025/03/10,Denmark,2015,Arsenic and compounds (as As),180.2
2025/03/10,Italy,2015,Trichloromethane,3637
2025/03/10,France,2016,"1,1,2,2-tetrachloroethane (TETRACHLOROETHANE-1,1,2,2)",143
2025/03/10,Bulgaria,2017,Benzene,1750
2025/03/10,Italy,2021,Zinc and compounds (as Zn),34624.1051
2025/03/10,Norway,2009,Ammonia (NH3),453900
2025/03/10,Germany,2007,Nickel and compounds (as Ni),20904.700000000004
2025/03/10,Czechia,2018,Zinc and compounds (as Zn),7125.246941
2025/03/10,Slovakia,2009,Carbon monoxide (CO),101222000
2025/03/10,Belgium,2008,Perfluorocarbons (PFCs),27169
2025/03/10,Germany,2021,Mercury and compounds (as Hg),4096.5
2025/03/10,Poland,2020,Carbon monoxide (CO),197247000
2025/03/10,France,2008,Carbon monoxide (CO),221349000
2025/03/10,Italy,2008,PCDD + PCDF (dioxins + furans) (as Teq),0.11516600000000002
2025/03/10,Netherlands,2009,Perfluorocarbons (PFCs),8206
2025/03/10,Germany,2011,Particulate matter (PM10),11017300
2025/03/10,United Kingdom,2008,Carbon monoxide (CO),357444000
2025/03/10,Sweden,2013,Nitrogen oxides (NOX),27229000
2025/03/10,Slovakia,2018,Mercury and compounds (as Hg),39.3
2025/03/10,Germany,2020,Ammonia (NH3),16882600
