Country_ID;Year;Adjusted savings: natural resources depletion (% of GNI);Adjusted savings: net forest depletion (% of GNI);Annual freshwater withdrawals, total (% of internal resources);CO2 emissions (metric tons per capita);Economic and Social Rights Performance Score;Electricity production from coal sources (% of total);Energy imports, net (% of energy use);Fossil fuel energy consumption (% of total);Heat Index 35;Heating Degree Days;Land Surface Temperature;Level of water stress: freshwater withdrawal as a proportion of available freshwater resources;Methane emissions (metric tons of CO2 equivalent per capita);Nitrous oxide emissions (metric tons of CO2 equivalent per capita);PM2.5 air pollution, mean annual exposure (micrograms per cubic meter);Renewable energy consumption (% of total final energy consumption);Tree Cover Loss (hectares)
CZ;2021;0.222302202;0.174396566;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;13.4377941;16.89458258;0.863101563;0.488674145;13.63815962;19.59;56293
DE;2013;0.059798713;0;23.66915888;9.624229367;2.417991708;47.24122949;62.09378398;81.08826801;0;6410.93;14.1867542;34.71217105;0.683042385;0.477160885;13.57835046;13.63;15499
DE;2014;0.039822108;0;23.394081;9.088527768;2.412295081;45.8101933;60.87591028;79.71052694;0;5320.83;15.1878215;34.30875366;0.659232435;0.486175831;12.24528447;14.02;21169
DE;2015;0.027278483;0;23.11900312;9.087344804;2.400251878;44.26280916;61.40016937;78.86255106;0;5680.83;14.8116934;33.90533626;0.64302962;0.471292257;12.72693664;14.55;12929
DE;2016;0.018549174;0;22.84392523;9.072972388;2.437535789;16.79499613;47.41131566;71.30324629;0;5909.41;14.5623764;33.50191886;0.626593159;0.459027914;11.77992518;14.24;26877
DE;2017;0.023560462;0;22.84392523;8.858344511;2.442909695;16.79499613;47.41131566;71.30324629;0;5831.13;14.1873459;33.50191886;0.618831272;0.444129621;11.88161987;15.22;33000
DE;2018;0.027858056;0;22.84392523;8.537042688;2.424605632;16.79499613;47.41131566;71.30324629;0;5421.68;16.6872467;33.50191886;0.598213979;0.420251176;11.92460308;16.04;52237
DE;2019;0.047726875;0;22.84392523;7.927187624;2.438455588;16.79499613;47.41131566;71.30324629;0;5499.78;15.5622506;33.50191886;0.583080283;0.421621829;11.80580716;17.07;108233
DE;2020;0.039652057;0;22.84392523;7.255221028;2.438455588;16.79499613;47.41131566;71.30324629;0;5362.53;15.8123659;33.50191886;0.5641788;0.406622829;13.63815962;18.6;186940
DE;2021;0.029548563;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;14.0623235;16.89458258;0.863101563;0.488674145;13.63815962;19.59;202278
DK;2013;0.954891066;0.008920163;16.81666667;7.11686268;2.45591215;41.13634401;4.908089604;70.25938711;0;6512.92;11.8436947;27.28501893;1.534350101;0.907741394;10.4485287;27.05;2015
DK;2014;0.797731914;0.010617722;16.48666667;6.347153128;2.4522252;34.37733035;0.944353805;67.70455812;0;5489.15;13.718956;26.74959438;1.497517794;0.935116532;11.03144858;30.19;5321
DK;2015;0.439260845;0.011001689;13.53;5.930324767;2.488615437;24.54485784;1.774998671;64.92708947;0;5963.62;12.0937654;21.95240671;1.48404864;0.957108753;10.16512436;32.53;2583
DK;2016;0.287534745;0.00825182;14.78325;6.169734341;2.490883035;16.79499613;47.41131566;71.30324629;0;6048.15;12.3435815;23.98580314;1.464900432;0.960455814;9.286433949;31.95;4656
DK;2017;0.395815904;0.007178425;14.92996667;5.756134453;2.486093927;16.79499613;47.41131566;71.30324629;0;6027.26;11.4686519;24.22385073;1.43790403;0.959789455;10.28076623;35.02;4360
DK;2018;0.476981359;0.008027439;18.43028333;5.718912959;2.493505479;16.79499613;47.41131566;71.30324629;0;5824.88;13.9692075;29.90310979;1.399255428;0.908113612;9.868317849;34.56;3162
DK;2019;0.351826482;0.006284346;15.7599;5.107386426;2.438455588;16.79499613;47.41131566;71.30324629;0;5767.31;12.5935977;25.57041644;1.358120424;0.932058943;9.785959755;37.29;9180
DK;2020;0.1136317;0.005276157;16.27383333;4.691237308;2.438455588;16.79499613;47.41131566;71.30324629;0;5541.46;13.0938174;26.40427258;1.333945294;0.941938807;13.63815962;39.7;3194
DK;2021;0.234051833;0.0053063;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;11.781271;16.89458258;0.863101563;0.488674145;13.63815962;19.59;4795
ES;2013;0.016803724;0;29.09172662;5.229400787;2.465736173;14.68564018;70.34306113;72.55135063;0;3916.21;21.8739104;44.10361282;0.797696581;0.420049055;10.3607232;16.92;63956
ES;2014;0.013834041;0;29.54946043;5.206009215;2.474885803;16.47396426;69.35978962;71.53112185;0;3278.94;23.1255357;44.79754601;0.796146203;0.438517308;9.830912644;17.33;74226
ES;2015;0.008408473;0;28.33633094;5.538855216;2.496244734;18.96238913;71.43266029;72.95554612;0;3413.52;23.6240358;42.95841854;0.830725482;0.441648608;10.53568076;16.3;65414
ES;2016;0.007110297;0;28.07643885;5.340585339;2.491366251;16.79499613;47.41131566;71.30324629;0;3575.33;23.1240409;42.56441718;0.827984568;0.436302081;9.576497124;16.71;107562
ES;2017;0.013704579;0;27.06294964;5.681590779;2.4911946;16.79499613;47.41131566;71.30324629;0;3361.44;24.3750553;41.02794819;0.834311961;0.444051638;9.749324875;15.18;98459
ES;2018;0.017194777;0;26.44694245;5.521059835;2.483521785;16.79499613;47.41131566;71.30324629;0.01;3707.97;22.1242536;40.09406953;0.836705639;0.448620007;9.769206907;16.9;119649
ES;2019;0.009815813;0;26.27203237;5.131798801;2.438455588;16.79499613;47.41131566;71.30324629;0;3498.39;23.8759295;39.82890252;0.834671557;0.435314447;9.728788477;16.68;71022
ES;2020;0.008526898;0;26.0971223;4.279594571;2.438455588;16.79499613;47.41131566;71.30324629;0;3433.47;22.8744121;43.25403923;0.83822816;0.442522555;13.63815962;19.35;101988
ES;2021;0.038645889;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;22.3735988;16.89458258;0.863101563;0.488674145;13.63815962;19.59;85792
EE;2013;0.731733643;0;13.75295043;14.2993497;2.505177752;2.237288136;7.226919055;17.19862975;0;7791.3;8.78104683;18.91774892;0.905714239;1.350602475;7.541812181;24.47;17089
EE;2014;0.785908943;0;13.53265146;13.38478333;2.482486151;4.153945043;3.397203439;14.49029111;0;7751.24;9.15683265;18.61471861;0.898102082;1.372553127;8.097020858;25.29;23577
EE;2015;0.465476776;0;12.70922612;10.92977307;2.503119323;5.327829509;-2.705959954;13.05621534;0;7210.6;9.78013574;17.4820632;0.889759919;1.383295217;6.563380324;28.17;25420
EE;2016;0.314829889;0;13.77970102;12.08946716;2.516030058;16.79499613;47.41131566;71.30324629;0;7902.91;8.65646964;18.95454545;0.828790936;1.338572495;6.517719719;27.23;36335
EE;2017;0.519486629;0;14.04327301;12.73243033;2.515662499;16.79499613;47.41131566;71.30324629;0;7886.77;8.59376704;19.31709957;0.836805737;1.366824268;5.683914429;27.52;38857
EE;2018;0.798768779;0;12.65570417;11.88893604;2.517856507;16.79499613;47.41131566;71.30324629;0;7630.19;9.96884288;17.40844156;0.831528577;1.357329168;5.985799478;28.59;40038
EE;2019;0.733624882;0;7.918568057;7.582120103;2.438455588;16.79499613;47.41131566;71.30324629;0;7289.45;9.8442572;10.89231602;0.823221767;1.379013956;5.893562381;31.34;45917
EE;2020;0.374756824;0;6.710875688;5.338399816;2.438455588;16.79499613;47.41131566;71.30324629;0;6733.16;10.0620971;9.231085498;0.825195806;1.374323989;13.63815962;40;36805
EE;2021;0.75117502;0;13.46723108;5.793648854;2.438455588;16.79499613;47.41131566;71.30324629;0;5899.288144;7.6867655;16.89458258;0.863101563;0.488674145;13.63815962;19.59;34004
FI;2013;0.109653814;0;3.344485981;9.228085749;2.596110486;15.71775405;45.30505616;42.62672305;0;9658.16;4.31338542;8.486127579;0.982176169;1.055156682;5.983816655;38.52;148661
FI;2014;0.089001223;0;2.946168224;8.452183205;2.604114757;12.35938556;46.19727551;42.18252679;0;9634.8;4.43739995;7.475456486;0.95409039;1.069593587;6.373112438;41.25;186629
FI;2015;0.050278394;0;2.547850467;7.813697924;2.612765826;8.303570127;45.33378503;40.20798299;0;9320.38;4.43827603;6.464785393;0.935315307;1.062090571;5.62877844;43.23;172639
FI;2016;0.02755601;0;2.14953271;8.31624753;2.617874674;16.79499613;47.41131566;71.30324629;0;9848.96;3.93761841;5.454114299;0.914389729;1.046482432;5.589432223;42.4;240428
